palabra_damana,frecuencia,candidatas_estadisticas,ejemplo_damana,ejemplo_espanol,espanol_propuesto,categoria,notas
"awantka",1592,"jehova | jesus | dijo | asi | rey","Naigʉntsha namba asheka shka minsha ñingui dzineka ukua, guama zukuega zumé kuaiega ingui Jehovága tushisha awantka bʉgui ugunga shkandzina (Salm 119:105; Lucas 1:3; 1 Juan 4:19).","Estamos convencidos de que en ella encontramos historia exacta, consejos confiables para la vida y pruebas conmovedoras del amor que siente Jehová por la familia humana (Salmo 119:105; Lucas 1:3; 1 Juan 4:19).","","",""
"mʉkawa",14,"hijos | jehova | usted | ayudelos | entender","Ma gʉmtshina mʉkawa nʉnerru ijkʉnawin asheshisha mawazhʉnga shkua capítulo, ingui nʉnzhú nazhi guaka awega shetamorrandzinangua.","Si usted tiene hijos, puede leer un capítulo con ellos, y juntos comentar las ilustraciones.","","",""
"naiguia",14,"jehova | dijeron | dinos | asi | dios","Gʉgantshijso: “Neka aunkurra kʉ Jehovága naiguia aunuka”.","Contestaron: “Haremos todo lo que Jehová nos diga”.","","",""
"nazhi",14,"jehova | demas | discipulos | jesus | juntos","Ma gʉmtshina mʉkawa nʉnerru ijkʉnawin asheshisha mawazhʉnga shkua capítulo, ingui nʉnzhú nazhi guaka awega shetamorrandzinangua.","Si usted tiene hijos, puede leer un capítulo con ellos, y juntos comentar las ilustraciones.","","",""
"nenegangua",14,"nadie | puede | baal | hijo | hizo","Mema dzingawuʉn nukuashkʉ Noéga uguia awantka shkandzinaga dziwa bʉgui nekʉnka, ukuashkʉ nenegangua tujkuñí awantka.","Durante esos años, Noé avisó a la gente de que iba a venir el Diluvio, pero nadie le hizo caso.","","",""
"nugeku",14,"dijo | jehova | jesus | dijeron | eres","Rebecaga ijkakandunún nanantka Esaúga Jacob guaga awega, memé nunkuame kʉzhia: “Naia ushi kaiarru makuma ushi Labán nugeku, manzhabunzhe anzhatu kuʉieku, Esaú kumatunantka nuka inzhagi awanshkʉ”. Jacobga tujkua awantka anzhadendzina, memé","Isaac y Rebeca querían proteger a Jacob, así que le dijeron: “Vete y quédate con tu tío Labán, el hermano de tu madre, hasta que Esaú se calme”.","","",""
"nukuame",14,"dijo | enojado | entonces | hambre | jehova","Indzui zhʉnguashkʉ, Esaú urragaka kinkuma bʉgui kujsanantka memandzuia zhasakʉn nukuame.","Entonces olió la rica comida que Jacob estaba cocinando y dijo: “¡Estoy muerto de hambre! ¡Dame un poco de ese guisado rojo!”.","","",""
"nukuarga",14,"despues | jesus | casa | hombre | tres","Ukuemdzi, Esaú nanzhe urragʉrga naiá, ingui Jacob naiá awantka naiʉn nukuarga.","Después de aquello, Esaú volvió a su casa, y Jacob siguió con su viaje.","","",""
"nunkuengua",14,"jehova | aunque | modos | asi | aun","Abrahán neka ukuame kʉ Jehovága ashizha ukua, gʉntshujkún nunkuengua inzhué ashizhantka.","Porque Abrahán hizo todo lo que Jehová le pidió, aunque no entendiera por qué se lo había pedido.","","",""
"oro",14,"oro | estatua | plata | becerro | ademas","Aarónga gʉgaso: “Nukunaka ushau mawinzhe oro maikʉnʉnka”.","Aarón les respondió: “Tráiganme el oro que tengan”.","","",""
"pascua",14,"pascua | años | celebrar | año | jerusalen","Dzazhigate Pascua.","La llamaron Pascua.","","",""
